genes	Symbol	Entrezid	Genename
ENSMUSG00000023307	March5	69104	membrane-associated ring finger (C3HC4) 5
ENSMUSG00000023328	Ache	11423	acetylcholinesterase
ENSMUSG00000023330	Dtwd1	69185	DTW domain containing 1
ENSMUSG00000023336	Wfdc1	67866	WAP four-disulfide core domain 1
ENSMUSG00000023341	Mx2	17858	MX dynamin-like GTPase 2
ENSMUSG00000023345	Poc1a	70235	POC1 centriolar protein A
ENSMUSG00000023348	Trip6	22051	thyroid hormone receptor interactor 6
ENSMUSG00000023353	Agap3	213990	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3
ENSMUSG00000023367	Tmem176a	66058	transmembrane protein 176A
ENSMUSG00000023391	Dlx2	13392	distal-less homeobox 2
ENSMUSG00000023411	Nfatc4	73181	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 4
ENSMUSG00000023452	Pisd	320951	phosphatidylserine decarboxylase
ENSMUSG00000023456	Tpi1	21991	triosephosphate isomerase 1
ENSMUSG00000023460	Rab12	19328	RAB12, member RAS oncogene family
ENSMUSG00000023473	Celsr3	107934	cadherin, EGF LAG seven-pass G-type receptor 3
ENSMUSG00000023484	Prph	19132	peripherin
ENSMUSG00000023495	Pcbp4	59092	poly(rC) binding protein 4
ENSMUSG00000023571	C1qtnf12	67389	C1q and tumor necrosis factor related 12
ENSMUSG00000023572	Ccndbp1	17151	cyclin D-type binding-protein 1
ENSMUSG00000023707	Ogfod2	66627	2-oxoglutarate and iron-dependent oxygenase domain containing 2
ENSMUSG00000023723	Mrps23	64656	mitochondrial ribosomal protein S23
ENSMUSG00000023755	Rhebl1	69159	Ras homolog enriched in brain like 1
ENSMUSG00000023764	Sfi1	78887	Sfi1 homolog, spindle assembly associated (yeast)
ENSMUSG00000023781	Hes7	84653	hes family bHLH transcription factor 7
ENSMUSG00000023791	Pigx	72084	phosphatidylinositol glycan anchor biosynthesis, class X
ENSMUSG00000023800	Tiam2	24001	T cell lymphoma invasion and metastasis 2
ENSMUSG00000023805	Synj2	20975	synaptojanin 2
ENSMUSG00000023806	Rsph3b	100037282	radial spoke 3B homolog (Chlamydomonas)
ENSMUSG00000023809	Rps6ka2	20112	ribosomal protein S6 kinase, polypeptide 2
ENSMUSG00000023827	Agpat4	68262	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)
ENSMUSG00000023828	Slc22a3	20519	solute carrier family 22 (organic cation transporter), member 3
ENSMUSG00000023830	Igf2r	16004	insulin-like growth factor 2 receptor
ENSMUSG00000023832	Acat2	110460	acetyl-Coenzyme A acetyltransferase 2
ENSMUSG00000023845	Lnpep	240028	leucyl/cystinyl aminopeptidase
ENSMUSG00000023852	Chd1	12648	chromodomain helicase DNA binding protein 1
ENSMUSG00000023861	Mpc1	55951	mitochondrial pyruvate carrier 1
ENSMUSG00000023868	Pde10a	23984	phosphodiesterase 10A
ENSMUSG00000023873	1700010I14Rik	66931	RIKEN cDNA 1700010I14 gene
ENSMUSG00000023882	Zfp54	22712	zinc finger protein 54
ENSMUSG00000023883	Phf10	72057	PHD finger protein 10
ENSMUSG00000023885	Thbs2	21826	thrombospondin 2
ENSMUSG00000023886	Smoc2	64074	SPARC related modular calcium binding 2
ENSMUSG00000023892	Zfp51	22709	zinc finger protein 51
ENSMUSG00000023904	Hcfc1r1	353502	host cell factor C1 regulator 1 (XPO1-dependent)
ENSMUSG00000023905	Tnfrsf12a	27279	tumor necrosis factor receptor superfamily, member 12a
ENSMUSG00000023908	Pkmyt1	268930	protein kinase, membrane associated tyrosine/threonine 1
ENSMUSG00000023909	Paqr4	76498	progestin and adipoQ receptor family member IV
ENSMUSG00000023911	Flywch2	76917	FLYWCH family member 2
ENSMUSG00000023912	Slc25a27	74011	solute carrier family 25, member 27
ENSMUSG00000023913	Pla2g7	27226	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
ENSMUSG00000023915	Tnfrsf21	94185	tumor necrosis factor receptor superfamily, member 21
ENSMUSG00000023918	Adgrf4	78249	adhesion G protein-coupled receptor F4
ENSMUSG00000023919	Cenpq	83815	centromere protein Q
ENSMUSG00000023921	Mut	17850	methylmalonyl-Coenzyme A mutase
ENSMUSG00000023923	Tbc1d5	72238	TBC1 domain family, member 5
ENSMUSG00000023927	Satb1	20230	special AT-rich sequence binding protein 1
ENSMUSG00000023931	Efhb	211482	EF hand domain family, member B
ENSMUSG00000023932	Cdc5l	71702	cell division cycle 5-like (S. pombe)
ENSMUSG00000023935	Spats1	71020	spermatogenesis associated, serine-rich 1
ENSMUSG00000023938	Aars2	224805	alanyl-tRNA synthetase 2, mitochondrial
ENSMUSG00000023939	Mrpl14	68463	mitochondrial ribosomal protein L14
ENSMUSG00000023942	Slc29a1	63959	solute carrier family 29 (nucleoside transporters), member 1
ENSMUSG00000023944	Hsp90ab1	15516	heat shock protein 90 alpha (cytosolic), class B member 1
ENSMUSG00000023945	Slc5a7	63993	solute carrier family 5 (choline transporter), member 7
ENSMUSG00000023947	Nfkbie	18037	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon
ENSMUSG00000023949	Tcte1	21645	t-complex-associated testis expressed 1
ENSMUSG00000023951	Vegfa	22339	vascular endothelial growth factor A
ENSMUSG00000023952	Gtpbp2	56055	GTP binding protein 2
ENSMUSG00000023953	Polh	80905	polymerase (DNA directed), eta (RAD 30 related)
ENSMUSG00000023959	Clic5	224796	chloride intracellular channel 5
ENSMUSG00000023960	Enpp5	83965	ectonucleotide pyrophosphatase/phosphodiesterase 5
ENSMUSG00000023961	Enpp4	224794	ectonucleotide pyrophosphatase/phosphodiesterase 4
ENSMUSG00000023963	Cyp39a1	56050	cytochrome P450, family 39, subfamily a, polypeptide 1
ENSMUSG00000023965	Fbxl17	50758	F-box and leucine-rich repeat protein 17
ENSMUSG00000023966	Rsph9	75564	radial spoke head 9 homolog (Chlamydomonas)
ENSMUSG00000023967	Mrps18a	68565	mitochondrial ribosomal protein S18A
ENSMUSG00000023968	Crip3	114570	cysteine-rich protein 3
ENSMUSG00000023971	Rrp36	224823	ribosomal RNA processing 36 homolog (S. cerevisiae)
ENSMUSG00000023972	Ptk7	71461	PTK7 protein tyrosine kinase 7
ENSMUSG00000023973	Cnpy3	72029	canopy FGF signaling regulator 3
ENSMUSG00000023977	Ubr2	224826	ubiquitin protein ligase E3 component n-recognin 2
ENSMUSG00000023979	Guca1b	107477	guanylate cyclase activator 1B
ENSMUSG00000023980	Taf8	63856	TATA-box binding protein associated factor 8
ENSMUSG00000023988	Bysl	53414	bystin-like
ENSMUSG00000023990	Tfeb	21425	transcription factor EB
ENSMUSG00000023991	Foxp4	74123	forkhead box P4
ENSMUSG00000023992	Trem2	83433	triggering receptor expressed on myeloid cells 2
ENSMUSG00000023994	Nfya	18044	nuclear transcription factor-Y alpha
ENSMUSG00000023999	Kif6	319991	kinesin family member 6
ENSMUSG00000024002	Brd4	57261	bromodomain containing 4
ENSMUSG00000024006	Stk38	106504	serine/threonine kinase 38
ENSMUSG00000024007	Ppil1	68816	peptidylprolyl isomerase (cyclophilin)-like 1
ENSMUSG00000024008	Cpne5	240058	copine V
ENSMUSG00000024011	Pi16	74116	peptidase inhibitor 16
ENSMUSG00000024012	Mtch1	56462	mitochondrial carrier 1
ENSMUSG00000024013	Fgd2	26382	FYVE, RhoGEF and PH domain containing 2
ENSMUSG00000024014	Pim1	18712	proviral integration site 1
ENSMUSG00000024018	Ccdc167	68597	coiled-coil domain containing 167
ENSMUSG00000024019	Cmtr1	74157	cap methyltransferase 1
ENSMUSG00000024026	Glo1	109801	glyoxalase 1
ENSMUSG00000024027	Glp1r	14652	glucagon-like peptide 1 receptor
ENSMUSG00000024030	Abcg1	11307	ATP binding cassette subfamily G member 1
ENSMUSG00000024033	Rsph1	22092	radial spoke head 1 homolog (Chlamydomonas)
ENSMUSG00000024036	Slc37a1	224674	solute carrier family 37 (glycerol-3-phosphate transporter), member 1
ENSMUSG00000024037	Wdr4	57773	WD repeat domain 4
ENSMUSG00000024038	Ndufv3	78330	NADH dehydrogenase (ubiquinone) flavoprotein 3
ENSMUSG00000024039	Cbs	12411	cystathionine beta-synthase
ENSMUSG00000024042	Sik1	17691	salt inducible kinase 1
ENSMUSG00000024043	Arhgap28	268970	Rho GTPase activating protein 28
ENSMUSG00000024044	Epb41l3	13823	erythrocyte membrane protein band 4.1 like 3
ENSMUSG00000024045	Akap8	56399	A kinase (PRKA) anchor protein 8
ENSMUSG00000024048	Myl12a	67268	myosin, light chain 12A, regulatory, non-sarcomeric
ENSMUSG00000024049	Myom1	17929	myomesin 1
ENSMUSG00000024050	Wiz	22404	widely-interspaced zinc finger motifs
ENSMUSG00000024052	Lpin2	64898	lipin 2
ENSMUSG00000024053	Emilin2	246707	elastin microfibril interfacer 2
ENSMUSG00000024054	Smchd1	74355	SMC hinge domain containing 1
ENSMUSG00000024055	Cyp4f13	170716	cytochrome P450, family 4, subfamily f, polypeptide 13
ENSMUSG00000024059	Clip4	78785	CAP-GLY domain containing linker protein family, member 4
ENSMUSG00000024063	Lbh	77889	limb-bud and heart
ENSMUSG00000024064	Galnt14	71685	polypeptide N-acetylgalactosaminyltransferase 14
ENSMUSG00000024065	Ehd3	57440	EH-domain containing 3
ENSMUSG00000024066	Xdh	22436	xanthine dehydrogenase
ENSMUSG00000024067	Dpy30	66310	dpy-30, histone methyltransferase complex regulatory subunit
ENSMUSG00000024068	Spast	50850	spastin
ENSMUSG00000024069	Slc30a6	210148	solute carrier family 30 (zinc transporter), member 6
ENSMUSG00000024070	Prkd3	75292	protein kinase D3
ENSMUSG00000024072	Yipf4	67864	Yip1 domain family, member 4
ENSMUSG00000024073	Birc6	12211	baculoviral IAP repeat-containing 6
ENSMUSG00000024074	Crim1	50766	cysteine rich transmembrane BMP regulator 1 (chordin like)
ENSMUSG00000024076	Vit	74199	vitrin
ENSMUSG00000024077	Strn	268980	striatin, calmodulin binding protein
ENSMUSG00000024078	Ttc27	74196	tetratricopeptide repeat domain 27
ENSMUSG00000024079	Eif2ak2	19106	eukaryotic translation initiation factor 2-alpha kinase 2
ENSMUSG00000024081	Cebpz	12607	CCAAT/enhancer binding protein zeta
ENSMUSG00000024082	Ndufaf7	73694	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor 7
ENSMUSG00000024083	Pja2	224938	praja ring finger ubiquitin ligase 2
ENSMUSG00000024084	Qpct	70536	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)
ENSMUSG00000024085	Man2a1	17158	mannosidase 2, alpha 1
ENSMUSG00000024087	Cyp1b1	13078	cytochrome P450, family 1, subfamily b, polypeptide 1
ENSMUSG00000024091	Vapa	30960	vesicle-associated membrane protein, associated protein A
ENSMUSG00000024095	Hnrnpll	72692	heterogeneous nuclear ribonucleoprotein L-like
ENSMUSG00000024096	Ralbp1	19765	ralA binding protein 1
ENSMUSG00000024097	Srsf7	225027	serine/arginine-rich splicing factor 7
ENSMUSG00000024098	Twsg1	65960	twisted gastrulation BMP signaling modulator 1
ENSMUSG00000024099	Ndufv2	72900	NADH dehydrogenase (ubiquinone) flavoprotein 2
ENSMUSG00000024101	Washc1	68767	WASH complex subunit 1
ENSMUSG00000024104	Washc2	28006	WASH complex subunit 2
ENSMUSG00000024109	Nrxn1	18189	neurexin I
ENSMUSG00000024112	Cacna1h	58226	calcium channel, voltage-dependent, T type, alpha 1H subunit
ENSMUSG00000024118	Tedc2	72016	tubulin epsilon and delta complex 2
ENSMUSG00000024120	Lrpprc	72416	leucine-rich PPR-motif containing
ENSMUSG00000024121	Atp6v0c	11984	ATPase, H+ transporting, lysosomal V0 subunit C
ENSMUSG00000024122	Pdpk1	18607	3-phosphoinositide dependent protein kinase 1
ENSMUSG00000024127	Prepl	213760	prolyl endopeptidase-like
ENSMUSG00000024130	Abca3	27410	ATP-binding cassette, sub-family A (ABC1), member 3
ENSMUSG00000024132	Eci1	13177	enoyl-Coenzyme A delta isomerase 1
ENSMUSG00000024135	Srbd1	78586	S1 RNA binding domain 1
ENSMUSG00000024136	Dnase1l2	66705	deoxyribonuclease 1-like 2
ENSMUSG00000024137	E4f1	13560	E4F transcription factor 1
ENSMUSG00000024140	Epas1	13819	endothelial PAS domain protein 1
ENSMUSG00000024142	Mlst8	56716	MTOR associated protein, LST8 homolog (S. cerevisiae)
ENSMUSG00000024143	Rhoq	104215	ras homolog family member Q
ENSMUSG00000024145	Pigf	18701	phosphatidylinositol glycan anchor biosynthesis, class F
ENSMUSG00000024146	Cript	56724	cysteine-rich PDZ-binding protein
ENSMUSG00000024150	Mcfd2	193813	multiple coagulation factor deficiency 2
ENSMUSG00000024151	Msh2	17685	mutS homolog 2
ENSMUSG00000024158	Hagh	14651	hydroxyacyl glutathione hydrolase
ENSMUSG00000024160	Spsb3	79043	splA/ryanodine receptor domain and SOCS box containing 3
ENSMUSG00000024163	Mapk8ip3	30957	mitogen-activated protein kinase 8 interacting protein 3
ENSMUSG00000024164	C3	12266	complement component 3
ENSMUSG00000024165	Jpt2	52009	Jupiter microtubule associated homolog 2
ENSMUSG00000024168	Tmem204	407831	transmembrane protein 204
ENSMUSG00000024169	Ift140	106633	intraflagellar transport 140
ENSMUSG00000024170	Telo2	71718	telomere maintenance 2
ENSMUSG00000024172	St6gal2	240119	beta galactoside alpha 2,6 sialyltransferase 2
ENSMUSG00000024174	Pot1b	72836	protection of telomeres 1B
ENSMUSG00000024175	Tekt4	71840	tektin 4
ENSMUSG00000024176	Sox8	20681	SRY (sex determining region Y)-box 8
ENSMUSG00000024177	Nme4	56520	NME/NM23 nucleoside diphosphate kinase 4
ENSMUSG00000024180	Tmem8	60455	transmembrane protein 8 (five membrane-spanning domains)
ENSMUSG00000024181	Mrpl28	68611	mitochondrial ribosomal protein L28
ENSMUSG00000024182	Axin1	12005	axin 1
ENSMUSG00000024186	Rgs11	50782	regulator of G-protein signaling 11
ENSMUSG00000024187	Fam234a	106581	family with sequence similarity 234, member A
ENSMUSG00000024188	Luc7l	66978	Luc7-like
ENSMUSG00000024190	Dusp1	19252	dual specificity phosphatase 1
ENSMUSG00000024191	Bnip1	224630	BCL2/adenovirus E1B interacting protein 1
ENSMUSG00000024193	Phf1	21652	PHD finger protein 1
ENSMUSG00000024194	Cuta	67675	cutA divalent cation tolerance homolog
ENSMUSG00000024197	Plin3	66905	perilipin 3
ENSMUSG00000024201	Kdm4b	193796	lysine (K)-specific demethylase 4B
ENSMUSG00000024206	Rfx2	19725	regulatory factor X, 2 (influences HLA class II expression)
ENSMUSG00000024208	Uqcc2	67267	ubiquinol-cytochrome c reductase complex assembly factor 2
ENSMUSG00000024211	Grm8	14823	glutamate receptor, metabotropic 8
ENSMUSG00000024212	Mllt1	64144	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1
ENSMUSG00000024213	Nudt3	56409	nudix (nucleotide diphosphate linked moiety X)-type motif 3
ENSMUSG00000024217	Snrpc	20630	U1 small nuclear ribonucleoprotein C
ENSMUSG00000024218	Taf11	68776	TATA-box binding protein associated factor 11
ENSMUSG00000024219	Anks1	224650	ankyrin repeat and SAM domain containing 1
ENSMUSG00000024220	Zfp523	224656	zinc finger protein 523
ENSMUSG00000024222	Fkbp5	14229	FK506 binding protein 5
ENSMUSG00000024227	Pdzph1	69239	PDZ and pleckstrin homology domains 1
ENSMUSG00000024228	Nudt12	67993	nudix (nucleoside diphosphate linked moiety X)-type motif 12
ENSMUSG00000024231	Cul2	71745	cullin 2
ENSMUSG00000024232	Bambi	68010	BMP and activin membrane-bound inhibitor
ENSMUSG00000024234	Mtpap	67440	mitochondrial poly(A) polymerase
ENSMUSG00000024235	Map3k8	26410	mitogen-activated protein kinase kinase kinase 8
ENSMUSG00000024236	Svil	225115	supervillin
ENSMUSG00000024238	Zeb1	21417	zinc finger E-box binding homeobox 1
ENSMUSG00000024240	Epc1	13831	enhancer of polycomb homolog 1
ENSMUSG00000024241	Sos1	20662	SOS Ras/Rac guanine nucleotide exchange factor 1
ENSMUSG00000024242	Map4k3	225028	mitogen-activated protein kinase kinase kinase kinase 3
ENSMUSG00000024245	Tmem178	68027	transmembrane protein 178
ENSMUSG00000024246	Thumpd2	72167	THUMP domain containing 2
ENSMUSG00000024247	Pkdcc	106522	protein kinase domain containing, cytoplasmic
ENSMUSG00000024248	Cox7a2l	20463	cytochrome c oxidase subunit VIIa polypeptide 2-like
ENSMUSG00000024251	Thada	240174	thyroid adenoma associated
ENSMUSG00000024253	Dync2li1	213575	dynein cytoplasmic 2 light intermediate chain 1
ENSMUSG00000024256	Adcyap1	11516	adenylate cyclase activating polypeptide 1
ENSMUSG00000024258	Polr2d	69241	polymerase (RNA) II (DNA directed) polypeptide D
ENSMUSG00000024259	Slc25a46	67453	solute carrier family 25, member 46
ENSMUSG00000024260	Sap130	269003	Sin3A associated protein
ENSMUSG00000024261	Syt4	20983	synaptotagmin IV
ENSMUSG00000024268	Celf4	108013	CUGBP, Elav-like family member 4
ENSMUSG00000024269	Tpgs2	66648	tubulin polyglutamylase complex subunit 2
ENSMUSG00000024270	Slc39a6	106957	solute carrier family 39 (metal ion transporter), member 6
ENSMUSG00000024271	Elp2	58523	elongator acetyltransferase complex subunit 2
ENSMUSG00000024273	2700062C07Rik	68046	RIKEN cDNA 2700062C07 gene
ENSMUSG00000024276	Zfp397	69256	zinc finger protein 397
ENSMUSG00000024277	Mapre2	212307	microtubule-associated protein, RP/EB family, member 2
ENSMUSG00000024283	Wac	225131	WW domain containing adaptor with coiled-coil
ENSMUSG00000024286	Ccny	67974	cyclin Y
ENSMUSG00000024287	Thoc1	225160	THO complex 1
ENSMUSG00000024290	Rock1	19877	Rho-associated coiled-coil containing protein kinase 1
ENSMUSG00000024292	Cyp4f14	64385	cytochrome P450, family 4, subfamily f, polypeptide 14
ENSMUSG00000024293	Esco1	77805	establishment of sister chromatid cohesion N-acetyltransferase 1
ENSMUSG00000024294	Mib1	225164	mindbomb E3 ubiquitin protein ligase 1
ENSMUSG00000024298	Zfp871	208292	zinc finger protein 871
ENSMUSG00000024299	Adamts10	224697	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10
ENSMUSG00000024300	Myo1f	17916	myosin IF
ENSMUSG00000024301	Kifc5b	16580	kinesin family member C5B
ENSMUSG00000024302	Dtna	13527	dystrobrevin alpha
ENSMUSG00000024304	Cdh2	12558	cadherin 2
ENSMUSG00000024308	Tapbp	21356	TAP binding protein
ENSMUSG00000024309	Pfdn6	14976	prefoldin subunit 6
ENSMUSG00000024312	Wdr46	57315	WD repeat domain 46
ENSMUSG00000024317	Rnf138	56515	ring finger protein 138
ENSMUSG00000024319	Vps52	224705	VPS52 GARP complex subunit
ENSMUSG00000024325	Ring1	19763	ring finger protein 1
ENSMUSG00000024327	Slc39a7	14977	solute carrier family 39 (zinc transporter), member 7
ENSMUSG00000024330	Col11a2	12815	collagen, type XI, alpha 2
ENSMUSG00000024331	Dsc2	13506	desmocollin 2
ENSMUSG00000024335	Brd2	14312	bromodomain containing 2
ENSMUSG00000024338	Psmb8	16913	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)
ENSMUSG00000024339	Tap2	21355	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
ENSMUSG00000024346	Pfdn1	67199	prefoldin 1
ENSMUSG00000024347	Psd2	74002	pleckstrin and Sec7 domain containing 2
ENSMUSG00000024349	Tmem173	72512	transmembrane protein 173
ENSMUSG00000024350	Dnajc18	76594	DnaJ heat shock protein family (Hsp40) member C18
ENSMUSG00000024352	Spata24	71242	spermatogenesis associated 24
ENSMUSG00000024357	Sil1	81500	endoplasmic reticulum chaperone SIL1 homolog (S. cerevisiae)
ENSMUSG00000024359	Hspa9	15526	heat shock protein 9
ENSMUSG00000024360	Etf1	225363	eukaryotic translation termination factor 1
ENSMUSG00000024369	Nelfe	27632	negative elongation factor complex member E, Rdbp
ENSMUSG00000024370	Cdc23	52563	CDC23 cell division cycle 23
ENSMUSG00000024371	C2	12263	complement component 2 (within H-2S)
ENSMUSG00000024376	Epb41l4a	13824	erythrocyte membrane protein band 4.1 like 4a
ENSMUSG00000024378	Stard4	170459	StAR-related lipid transfer (START) domain containing 4
ENSMUSG00000024381	Bin1	30948	bridging integrator 1
ENSMUSG00000024382	Ercc3	13872	excision repair cross-complementing rodent repair deficiency, complementation group 3
ENSMUSG00000024383	Map3k2	26405	mitogen-activated protein kinase kinase kinase 2
ENSMUSG00000024384	Iws1	73473	IWS1, SUPT6 interacting protein
ENSMUSG00000024387	Csnk2b	13001	casein kinase 2, beta polypeptide
ENSMUSG00000024392	Bag6	224727	BCL2-associated athanogene 6
ENSMUSG00000024393	Prrc2a	53761	proline-rich coiled-coil 2A
ENSMUSG00000024395	Lims2	225341	LIM and senescent cell antigen like domains 2
ENSMUSG00000024397	Aif1	11629	allograft inflammatory factor 1
ENSMUSG00000024400	Wdr33	74320	WD repeat domain 33
ENSMUSG00000024403	Atp6v1g2	66237	ATPase, H+ transporting, lysosomal V1 subunit G2
ENSMUSG00000024404	Riok3	66878	RIO kinase 3
ENSMUSG00000024410	3110002H16Rik	76482	RIKEN cDNA 3110002H16 gene
ENSMUSG00000024411	Aqp4	11829	aquaporin 4
ENSMUSG00000024413	Npc1	18145	NPC intracellular cholesterol transporter 1
ENSMUSG00000024414	Mrpl27	94064	mitochondrial ribosomal protein L27
ENSMUSG00000024420	Zfp521	225207	zinc finger protein 521
ENSMUSG00000024421	Lama3	16774	laminin, alpha 3
ENSMUSG00000024422	Dhx16	69192	DEAH (Asp-Glu-Ala-His) box polypeptide 16
ENSMUSG00000024423	Impact	16210	impact, RWD domain protein
ENSMUSG00000024424	Ttc39c	72747	tetratricopeptide repeat domain 39C
ENSMUSG00000024425	Ndfip1	65113	Nedd4 family interacting protein 1
ENSMUSG00000024426	Atat1	73242	alpha tubulin acetyltransferase 1
ENSMUSG00000024427	Spry4	24066	sprouty RTK signaling antagonist 4
ENSMUSG00000024429	Gnl1	14670	guanine nucleotide binding protein-like 1
ENSMUSG00000024430	Cabyr	71132	calcium-binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2)
ENSMUSG00000024431	Nr3c1	14815	nuclear receptor subfamily 3, group C, member 1
ENSMUSG00000024436	Mrps18b	66973	mitochondrial ribosomal protein S18B
ENSMUSG00000024440	Pcdh12	53601	protocadherin 12
ENSMUSG00000024442	0610009O20Rik	66839	RIKEN cDNA 0610009O20 gene
ENSMUSG00000024446	Rpp21	67676	ribonuclease P 21 subunit
ENSMUSG00000024451	Arap3	106952	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
ENSMUSG00000024454	Hdac3	15183	histone deacetylase 3
ENSMUSG00000024456	Diaph1	13367	diaphanous related formin 1
ENSMUSG00000024457	Trim26	22670	tripartite motif-containing 26
ENSMUSG00000024459	H2-M5	240095	histocompatibility 2, M region locus 5
ENSMUSG00000024462	Gabbr1	54393	gamma-aminobutyric acid (GABA) B receptor, 1
ENSMUSG00000024472	Dcp2	70640	decapping mRNA 2
ENSMUSG00000024474	Ik	24010	IK cytokine
ENSMUSG00000024477	Pggt1b	225467	protein geranylgeranyltransferase type I, beta subunit
ENSMUSG00000024479	Mal2	105853	mal, T cell differentiation protein 2
ENSMUSG00000024480	Ap3s1	11777	adaptor-related protein complex 3, sigma 1 subunit
ENSMUSG00000024483	Ankhd1	108857	ankyrin repeat and KH domain containing 1
ENSMUSG00000024486	Hbegf	15200	heparin-binding EGF-like growth factor
ENSMUSG00000024487	Yipf5	67180	Yip1 domain family, member 5
ENSMUSG00000024491	Rbm27	225432	RNA binding motif protein 27
ENSMUSG00000024493	Lars	107045	leucyl-tRNA synthetase
ENSMUSG00000024498	Tcerg1	56070	transcription elongation regulator 1 (CA150)
ENSMUSG00000024500	Ppp2r2b	72930	protein phosphatase 2, regulatory subunit B, beta
ENSMUSG00000024501	Dpysl3	22240	dihydropyrimidinase-like 3
ENSMUSG00000024502	Jakmip2	76217	janus kinase and microtubule interacting protein 2
ENSMUSG00000024505	Dtwd2	68857	DTW domain containing 2
ENSMUSG00000024507	Hsd17b4	15488	hydroxysteroid (17-beta) dehydrogenase 4
ENSMUSG00000024511	Rab27b	80718	RAB27B, member RAS oncogene family
ENSMUSG00000024513	Mbd2	17191	methyl-CpG binding domain protein 2
ENSMUSG00000024515	Smad4	17128	SMAD family member 4
ENSMUSG00000024516	Sec11c	66286	SEC11 homolog C, signal peptidase complex subunit
ENSMUSG00000024517	Grp	225642	gastrin releasing peptide
ENSMUSG00000024521	Pmaip1	58801	phorbol-12-myristate-13-acetate-induced protein 1
ENSMUSG00000024524	Gnal	14680	guanine nucleotide binding protein, alpha stimulating, olfactory type
ENSMUSG00000024525	Impa2	114663	inositol (myo)-1(or 4)-monophosphatase 2
ENSMUSG00000024526	Cidea	12683	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A
ENSMUSG00000024527	Afg3l2	69597	AFG3-like AAA ATPase 2
ENSMUSG00000024528	Srfbp1	67222	serum response factor binding protein 1
ENSMUSG00000024529	Lox	16948	lysyl oxidase
ENSMUSG00000024530	Prelid3a	225655	PRELI domain containing 3A
ENSMUSG00000024533	Spire1	68166	spire type actin nucleation factor 1
ENSMUSG00000024534	Sncaip	67847	synuclein, alpha interacting protein (synphilin)
ENSMUSG00000024535	Snx24	69226	sorting nexing 24
ENSMUSG00000024537	Psmg2	107047	proteasome (prosome, macropain) assembly chaperone 2
ENSMUSG00000024538	Ppic	19038	peptidylprolyl isomerase C
ENSMUSG00000024539	Ptpn2	19255	protein tyrosine phosphatase, non-receptor type 2
ENSMUSG00000024542	Cep192	70799	centrosomal protein 192
ENSMUSG00000024544	Ldlrad4	52662	low density lipoprotein receptor class A domain containing 4
ENSMUSG00000024548	Setbp1	240427	SET binding protein 1
ENSMUSG00000024552	Slc14a2	27411	solute carrier family 14 (urea transporter), member 2
ENSMUSG00000024553	Galr1	14427	galanin receptor 1
ENSMUSG00000024556	Me2	107029	malic enzyme 2, NAD(+)-dependent, mitochondrial
ENSMUSG00000024558	Mapk4	225724	mitogen-activated protein kinase 4
ENSMUSG00000024560	Cxxc1	74322	CXXC finger 1 (PHD domain)
ENSMUSG00000024561	Mbd1	17190	methyl-CpG binding domain protein 1
ENSMUSG00000024563	Smad2	17126	SMAD family member 2
ENSMUSG00000024565	Sall3	20689	spalt like transcription factor 3
ENSMUSG00000024566	Atp9b	50771	ATPase, class II, type 9B
ENSMUSG00000024570	Rbfa	68731	ribosome binding factor A
ENSMUSG00000024576	Csnk1a1	93687	casein kinase 1, alpha 1
ENSMUSG00000024579	Pcyox1l	240334	prenylcysteine oxidase 1 like
ENSMUSG00000024580	Grpel2	17714	GrpE-like 2, mitochondrial
ENSMUSG00000024581	Napg	108123	N-ethylmaleimide sensitive fusion protein attachment protein gamma
ENSMUSG00000024583	Txnl1	53382	thioredoxin-like 1
ENSMUSG00000024587	Nars	70223	asparaginyl-tRNA synthetase
ENSMUSG00000024588	Fech	14151	ferrochelatase
ENSMUSG00000024589	Nedd4l	83814	neural precursor cell expressed, developmentally down-regulated gene 4-like
ENSMUSG00000024590	Lmnb1	16906	lamin B1
ENSMUSG00000024592	C330018D20Rik	77422	RIKEN cDNA C330018D20 gene
ENSMUSG00000024593	Megf10	70417	multiple EGF-like-domains 10
ENSMUSG00000024594	Prrc1	73137	proline-rich coiled-coil 1
ENSMUSG00000024597	Slc12a2	20496	solute carrier family 12, member 2
ENSMUSG00000024598	Fbn2	14119	fibrillin 2
ENSMUSG00000024601	Isoc1	66307	isochorismatase domain containing 1
ENSMUSG00000024603	Dctn4	67665	dynactin 4
ENSMUSG00000024604	Rbm22	66810	RNA binding motif protein 22
